interval,origin,destination,count
11,E12_13_NB,E17_19_NB,1
11,E1_3_SB,E21_22_SB,2
11,E20_22_NWB,E23_24_NB,2
11,E3_4_EB,E11_12_EB,2
11,E4_5_WB,E16_18_EB,2
12,E17_19_NB,E20_22_SEB,1
12,E18_20_NEB,E16_17_SB,3
12,E1_3_SB,E21_22_SB,2
12,E20_21_WB,E1_2_EB,2
12,E20_22_NWB,E23_24_NB,2
12,E3_4_EB,E11_12_EB,2
12,E4_5_WB,E16_18_EB,1
13,E12_13_NB,E17_19_NB,2
13,E17_19_NB,E20_22_SEB,3
13,E18_20_NEB,E16_17_SB,2
13,E1_3_SB,E21_22_SB,1
13,E20_21_WB,E1_2_EB,4
13,E20_22_NWB,E23_24_NB,1
13,E3_4_EB,E11_12_EB,2
13,E4_5_WB,E16_18_EB,2
13,E5_6_WB,E3_12_SB,1
14,E10_16_WB,E22_23_WB,1
14,E12_13_NB,E17_19_NB,2
14,E17_19_NB,E20_22_SEB,1
14,E18_20_NEB,E16_17_SB,2
14,E1_3_SB,E21_22_SB,1
14,E20_21_WB,E1_2_EB,2
14,E20_22_NWB,E23_24_NB,4
14,E4_5_WB,E16_18_EB,2
14,E5_6_WB,E3_12_SB,1
15,E10_16_WB,E22_23_WB,3
15,E12_13_NB,E17_19_NB,1
15,E17_19_NB,E20_22_SEB,1
15,E18_20_NEB,E16_17_SB,1
15,E1_3_SB,E21_22_SB,2
15,E20_21_WB,E1_2_EB,2
15,E20_22_NWB,E23_24_NB,1
15,E3_4_EB,E11_12_EB,3
15,E4_5_WB,E16_18_EB,2
16,E10_16_WB,E22_23_WB,3
16,E18_20_NEB,E16_17_SB,1
16,E1_3_SB,E21_22_SB,2
16,E20_21_WB,E1_2_EB,2
16,E20_22_NWB,E23_24_NB,3
16,E4_5_WB,E16_18_EB,3
16,E5_6_WB,E3_12_SB,2
17,E10_16_WB,E22_23_WB,1
17,E12_13_NB,E17_19_NB,1
17,E17_19_NB,E20_22_SEB,4
17,E18_20_NEB,E16_17_SB,2
17,E1_3_SB,E21_22_SB,3
17,E20_21_WB,E1_2_EB,3
17,E20_22_NWB,E23_24_NB,3
17,E3_4_EB,E11_12_EB,2
17,E4_5_WB,E16_18_EB,2
18,E10_16_WB,E22_23_WB,1
18,E12_13_NB,E17_19_NB,4
18,E17_19_NB,E20_22_SEB,1
18,E1_3_SB,E21_22_SB,2
18,E20_22_NWB,E23_24_NB,2
18,E3_4_EB,E11_12_EB,3
18,E4_5_WB,E16_18_EB,2
18,E5_6_WB,E3_12_SB,1
19,E10_16_WB,E22_23_WB,2
19,E1_3_SB,E21_22_SB,6
19,E20_21_WB,E1_2_EB,1
19,E20_22_NWB,E23_24_NB,2
19,E3_4_EB,E11_12_EB,3
19,E4_5_WB,E16_18_EB,3
19,E5_6_WB,E3_12_SB,1
20,E10_16_WB,E22_23_WB,2
20,E17_19_NB,E20_22_SEB,1
20,E18_20_NEB,E16_17_SB,6
20,E1_3_SB,E21_22_SB,2
20,E20_21_WB,E1_2_EB,3
20,E3_4_EB,E11_12_EB,4
20,E5_6_WB,E3_12_SB,2
21,E10_16_WB,E22_23_WB,1
21,E12_13_NB,E17_19_NB,2
21,E18_20_NEB,E16_17_SB,2
21,E1_3_SB,E21_22_SB,2
21,E20_21_WB,E1_2_EB,1
21,E20_22_NWB,E23_24_NB,1
21,E3_4_EB,E11_12_EB,1
21,E4_5_WB,E16_18_EB,4
21,E5_6_WB,E3_12_SB,1
22,E10_16_WB,E22_23_WB,1
22,E12_13_NB,E17_19_NB,1
22,E17_19_NB,E20_22_SEB,4
22,E18_20_NEB,E16_17_SB,2
22,E20_21_WB,E1_2_EB,4
22,E20_22_NWB,E23_24_NB,1
22,E3_4_EB,E11_12_EB,1
22,E4_5_WB,E16_18_EB,3
22,E5_6_WB,E3_12_SB,3
23,E12_13_NB,E17_19_NB,1
23,E17_19_NB,E20_22_SEB,2
23,E18_20_NEB,E16_17_SB,1
23,E1_3_SB,E21_22_SB,3
23,E20_21_WB,E1_2_EB,2
23,E20_22_NWB,E23_24_NB,4
23,E4_5_WB,E16_18_EB,2
23,E5_6_WB,E3_12_SB,1
24,E10_16_WB,E22_23_WB,2
24,E12_13_NB,E17_19_NB,2
24,E17_19_NB,E20_22_SEB,2
24,E18_20_NEB,E16_17_SB,2
24,E1_3_SB,E21_22_SB,3
24,E20_21_WB,E1_2_EB,3
24,E20_22_NWB,E23_24_NB,1
24,E3_4_EB,E11_12_EB,2
24,E4_5_WB,E16_18_EB,2
24,E5_6_WB,E3_12_SB,4
25,E10_16_WB,E22_23_WB,1
25,E17_19_NB,E20_22_SEB,2
25,E18_20_NEB,E16_17_SB,2
25,E1_3_SB,E21_22_SB,1
25,E20_22_NWB,E23_24_NB,1
25,E3_4_EB,E11_12_EB,1
25,E4_5_WB,E16_18_EB,1
25,E5_6_WB,E3_12_SB,4
26,E12_13_NB,E17_19_NB,1
26,E17_19_NB,E20_22_SEB,1
26,E18_20_NEB,E16_17_SB,4
26,E1_3_SB,E21_22_SB,3
26,E20_22_NWB,E23_24_NB,3
26,E3_4_EB,E11_12_EB,1
26,E4_5_WB,E16_18_EB,4
27,E10_16_WB,E22_23_WB,1
27,E12_13_NB,E17_19_NB,1
27,E17_19_NB,E20_22_SEB,1
27,E18_20_NEB,E16_17_SB,2
27,E1_3_SB,E21_22_SB,2
27,E20_21_WB,E1_2_EB,1
27,E20_22_NWB,E23_24_NB,2
27,E4_5_WB,E16_18_EB,2
28,E10_16_WB,E22_23_WB,1
28,E12_13_NB,E17_19_NB,1
28,E18_20_NEB,E16_17_SB,2
28,E1_3_SB,E21_22_SB,3
28,E20_21_WB,E1_2_EB,1
28,E20_22_NWB,E23_24_NB,1
28,E3_4_EB,E11_12_EB,2
28,E4_5_WB,E16_18_EB,2
28,E5_6_WB,E3_12_SB,1
29,E10_16_WB,E22_23_WB,2
29,E17_19_NB,E20_22_SEB,1
29,E1_3_SB,E21_22_SB,3
29,E20_21_WB,E1_2_EB,2
29,E3_4_EB,E11_12_EB,2
29,E4_5_WB,E16_18_EB,2
30,E10_16_WB,E22_23_WB,2
30,E18_20_NEB,E16_17_SB,1
30,E1_3_SB,E21_22_SB,2
30,E20_22_NWB,E23_24_NB,1
30,E3_4_EB,E11_12_EB,1
30,E4_5_WB,E16_18_EB,3
31,E10_16_WB,E22_23_WB,1
31,E12_13_NB,E17_19_NB,1
31,E1_3_SB,E21_22_SB,2
31,E20_21_WB,E1_2_EB,1
31,E20_22_NWB,E23_24_NB,2
31,E4_5_WB,E16_18_EB,2
32,E10_16_WB,E22_23_WB,2
32,E12_13_NB,E17_19_NB,1
32,E17_19_NB,E20_22_SEB,1
32,E20_22_NWB,E23_24_NB,1
32,E3_4_EB,E11_12_EB,1
32,E4_5_WB,E16_18_EB,1
33,E10_16_WB,E22_23_WB,1
33,E17_19_NB,E20_22_SEB,1
33,E1_3_SB,E21_22_SB,1
33,E20_21_WB,E1_2_EB,1
33,E4_5_WB,E16_18_EB,1
34,E10_16_WB,E22_23_WB,2
34,E12_13_NB,E17_19_NB,1
34,E17_19_NB,E20_22_SEB,1
34,E18_20_NEB,E16_17_SB,1
34,E1_3_SB,E21_22_SB,2
34,E20_21_WB,E1_2_EB,1
34,E20_22_NWB,E23_24_NB,1
34,E3_4_EB,E11_12_EB,5
34,E4_5_WB,E16_18_EB,1
35,E10_16_WB,E22_23_WB,1
35,E12_13_NB,E17_19_NB,3
35,E17_19_NB,E20_22_SEB,1
35,E1_3_SB,E21_22_SB,2
35,E20_21_WB,E1_2_EB,2
35,E20_22_NWB,E23_24_NB,3
35,E3_4_EB,E11_12_EB,6
35,E4_5_WB,E16_18_EB,1
36,E10_16_WB,E22_23_WB,2
36,E12_13_NB,E17_19_NB,3
36,E17_19_NB,E20_22_SEB,1
36,E1_3_SB,E21_22_SB,3
36,E20_22_NWB,E23_24_NB,5
36,E3_4_EB,E11_12_EB,5
36,E4_5_WB,E16_18_EB,1
36,E5_6_WB,E3_12_SB,3
37,E12_13_NB,E17_19_NB,3
37,E17_19_NB,E20_22_SEB,1
37,E1_3_SB,E21_22_SB,1
37,E20_21_WB,E1_2_EB,1
37,E20_22_NWB,E23_24_NB,5
37,E4_5_WB,E16_18_EB,1
37,E5_6_WB,E3_12_SB,2
38,E10_16_WB,E22_23_WB,1
38,E12_13_NB,E17_19_NB,1
38,E17_19_NB,E20_22_SEB,1
38,E18_20_NEB,E16_17_SB,1
38,E1_3_SB,E21_22_SB,2
38,E20_21_WB,E1_2_EB,3
38,E20_22_NWB,E23_24_NB,2
38,E3_4_EB,E11_12_EB,2
39,E12_13_NB,E17_19_NB,1
39,E18_20_NEB,E16_17_SB,1
39,E1_3_SB,E21_22_SB,1
39,E20_21_WB,E1_2_EB,1
39,E20_22_NWB,E23_24_NB,2
39,E3_4_EB,E11_12_EB,2
39,E4_5_WB,E16_18_EB,3
39,E5_6_WB,E3_12_SB,1
40,E12_13_NB,E17_19_NB,1
40,E17_19_NB,E20_22_SEB,1
40,E20_21_WB,E1_2_EB,3
40,E20_22_NWB,E23_24_NB,3
40,E3_4_EB,E11_12_EB,1
40,E4_5_WB,E16_18_EB,2
40,E5_6_WB,E3_12_SB,1
41,E10_16_WB,E22_23_WB,2
41,E12_13_NB,E17_19_NB,1
41,E17_19_NB,E20_22_SEB,1
41,E18_20_NEB,E16_17_SB,2
41,E1_3_SB,E21_22_SB,2
41,E20_21_WB,E1_2_EB,2
41,E20_22_NWB,E23_24_NB,3
42,E10_16_WB,E22_23_WB,1
42,E12_13_NB,E17_19_NB,2
42,E17_19_NB,E20_22_SEB,1
42,E18_20_NEB,E16_17_SB,1
42,E1_3_SB,E21_22_SB,2
42,E20_21_WB,E1_2_EB,2
42,E20_22_NWB,E23_24_NB,4
42,E3_4_EB,E11_12_EB,2
42,E4_5_WB,E16_18_EB,2
42,E5_6_WB,E3_12_SB,4
43,E10_16_WB,E22_23_WB,2
43,E12_13_NB,E17_19_NB,1
43,E17_19_NB,E20_22_SEB,2
43,E18_20_NEB,E16_17_SB,3
43,E1_3_SB,E21_22_SB,1
43,E20_21_WB,E1_2_EB,3
43,E20_22_NWB,E23_24_NB,1
43,E4_5_WB,E16_18_EB,2
43,E5_6_WB,E3_12_SB,1
44,E10_16_WB,E22_23_WB,2
44,E18_20_NEB,E16_17_SB,2
44,E1_3_SB,E21_22_SB,5
44,E20_21_WB,E1_2_EB,2
44,E20_22_NWB,E23_24_NB,3
44,E3_4_EB,E11_12_EB,1
44,E4_5_WB,E16_18_EB,2
44,E5_6_WB,E3_12_SB,4
45,E10_16_WB,E22_23_WB,3
45,E17_19_NB,E20_22_SEB,1
45,E18_20_NEB,E16_17_SB,2
45,E1_3_SB,E21_22_SB,2
45,E20_21_WB,E1_2_EB,4
45,E20_22_NWB,E23_24_NB,3
45,E3_4_EB,E11_12_EB,1
45,E4_5_WB,E16_18_EB,3
45,E5_6_WB,E3_12_SB,1
46,E10_16_WB,E22_23_WB,1
46,E12_13_NB,E17_19_NB,1
46,E18_20_NEB,E16_17_SB,1
46,E1_3_SB,E21_22_SB,2
46,E20_21_WB,E1_2_EB,2
46,E20_22_NWB,E23_24_NB,1
46,E3_4_EB,E11_12_EB,1
46,E4_5_WB,E16_18_EB,2
46,E5_6_WB,E3_12_SB,1
47,E10_16_WB,E22_23_WB,2
47,E12_13_NB,E17_19_NB,1
47,E17_19_NB,E20_22_SEB,3
47,E18_20_NEB,E16_17_SB,2
47,E1_3_SB,E21_22_SB,2
47,E20_21_WB,E1_2_EB,3
47,E20_22_NWB,E23_24_NB,4
47,E3_4_EB,E11_12_EB,3
47,E4_5_WB,E16_18_EB,1
47,E5_6_WB,E3_12_SB,2
48,E10_16_WB,E22_23_WB,2
48,E12_13_NB,E17_19_NB,2
48,E17_19_NB,E20_22_SEB,1
48,E18_20_NEB,E16_17_SB,1
48,E1_3_SB,E21_22_SB,1
48,E20_22_NWB,E23_24_NB,4
48,E4_5_WB,E16_18_EB,1
48,E5_6_WB,E3_12_SB,4
49,E10_16_WB,E22_23_WB,1
49,E12_13_NB,E17_19_NB,1
49,E17_19_NB,E20_22_SEB,3
49,E18_20_NEB,E16_17_SB,1
49,E1_3_SB,E21_22_SB,1
49,E20_21_WB,E1_2_EB,1
49,E3_4_EB,E11_12_EB,3
49,E4_5_WB,E16_18_EB,2
49,E5_6_WB,E3_12_SB,1
50,E10_16_WB,E22_23_WB,1
50,E17_19_NB,E20_22_SEB,1
50,E18_20_NEB,E16_17_SB,1
50,E20_21_WB,E1_2_EB,3
50,E20_22_NWB,E23_24_NB,4
50,E3_4_EB,E11_12_EB,2
50,E4_5_WB,E16_18_EB,2
50,E5_6_WB,E3_12_SB,2
51,E10_16_WB,E22_23_WB,2
51,E17_19_NB,E20_22_SEB,1
51,E18_20_NEB,E16_17_SB,2
51,E1_3_SB,E21_22_SB,3
51,E20_21_WB,E1_2_EB,2
51,E20_22_NWB,E23_24_NB,1
51,E3_4_EB,E11_12_EB,2
51,E4_5_WB,E16_18_EB,1
51,E5_6_WB,E3_12_SB,1
52,E1_3_SB,E21_22_SB,5
52,E20_22_NWB,E23_24_NB,2
52,E3_4_EB,E11_12_EB,1
53,E12_13_NB,E17_19_NB,2
53,E17_19_NB,E20_22_SEB,1
53,E20_22_NWB,E23_24_NB,1
53,E3_4_EB,E11_12_EB,1
53,E5_6_WB,E3_12_SB,1
54,E10_16_WB,E22_23_WB,2
54,E12_13_NB,E17_19_NB,3
54,E17_19_NB,E20_22_SEB,2
54,E1_3_SB,E21_22_SB,1
54,E20_21_WB,E1_2_EB,4
54,E20_22_NWB,E23_24_NB,2
54,E3_4_EB,E11_12_EB,3
54,E5_6_WB,E3_12_SB,3
55,E17_19_NB,E20_22_SEB,1
55,E18_20_NEB,E16_17_SB,2
55,E1_3_SB,E21_22_SB,4
55,E20_21_WB,E1_2_EB,2
55,E3_4_EB,E11_12_EB,1
55,E4_5_WB,E16_18_EB,1
55,E5_6_WB,E3_12_SB,1
56,E10_16_WB,E22_23_WB,2
56,E18_20_NEB,E16_17_SB,2
56,E20_21_WB,E1_2_EB,2
56,E20_22_NWB,E23_24_NB,1
56,E3_4_EB,E11_12_EB,1
56,E4_5_WB,E16_18_EB,1
56,E5_6_WB,E3_12_SB,2
57,E12_13_NB,E17_19_NB,1
57,E17_19_NB,E20_22_SEB,1
57,E1_3_SB,E21_22_SB,1
57,E20_22_NWB,E23_24_NB,3
57,E3_4_EB,E11_12_EB,1
57,E4_5_WB,E16_18_EB,4
57,E5_6_WB,E3_12_SB,1
58,E12_13_NB,E17_19_NB,2
58,E1_3_SB,E21_22_SB,2
58,E3_4_EB,E11_12_EB,3
58,E4_5_WB,E16_18_EB,2
58,E5_6_WB,E3_12_SB,1
59,E10_16_WB,E22_23_WB,1
59,E12_13_NB,E17_19_NB,3
59,E17_19_NB,E20_22_SEB,2
59,E18_20_NEB,E16_17_SB,1
59,E1_3_SB,E21_22_SB,2
59,E20_21_WB,E1_2_EB,1
59,E20_22_NWB,E23_24_NB,2
59,E4_5_WB,E16_18_EB,1
60,E10_16_WB,E22_23_WB,2
60,E12_13_NB,E17_19_NB,1
60,E17_19_NB,E20_22_SEB,1
60,E20_21_WB,E1_2_EB,2
60,E20_22_NWB,E23_24_NB,4
60,E3_4_EB,E11_12_EB,1
60,E4_5_WB,E16_18_EB,2
60,E5_6_WB,E3_12_SB,1
61,E12_13_NB,E17_19_NB,2
61,E17_19_NB,E20_22_SEB,4
61,E18_20_NEB,E16_17_SB,5
61,E1_3_SB,E21_22_SB,2
61,E20_22_NWB,E23_24_NB,3
61,E3_4_EB,E11_12_EB,1
61,E4_5_WB,E16_18_EB,2
61,E5_6_WB,E3_12_SB,1
62,E10_16_WB,E22_23_WB,2
62,E12_13_NB,E17_19_NB,2
62,E17_19_NB,E20_22_SEB,3
62,E18_20_NEB,E16_17_SB,3
62,E1_3_SB,E21_22_SB,5
62,E20_21_WB,E1_2_EB,1
62,E20_22_NWB,E23_24_NB,1
62,E3_4_EB,E11_12_EB,1
62,E4_5_WB,E16_18_EB,3
62,E5_6_WB,E3_12_SB,2
63,E12_13_NB,E17_19_NB,1
63,E1_3_SB,E21_22_SB,1
63,E20_21_WB,E1_2_EB,2
63,E20_22_NWB,E23_24_NB,4
63,E4_5_WB,E16_18_EB,1
63,E5_6_WB,E3_12_SB,1
64,E1_3_SB,E21_22_SB,1
64,E20_22_NWB,E23_24_NB,1
64,E3_4_EB,E11_12_EB,3
64,E4_5_WB,E16_18_EB,5
64,E5_6_WB,E3_12_SB,2
65,E10_16_WB,E22_23_WB,1
65,E12_13_NB,E17_19_NB,3
65,E17_19_NB,E20_22_SEB,2
65,E18_20_NEB,E16_17_SB,1
65,E1_3_SB,E21_22_SB,1
65,E20_21_WB,E1_2_EB,3
65,E20_22_NWB,E23_24_NB,4
65,E3_4_EB,E11_12_EB,1
65,E4_5_WB,E16_18_EB,2
66,E10_16_WB,E22_23_WB,3
66,E17_19_NB,E20_22_SEB,1
66,E1_3_SB,E21_22_SB,1
66,E20_21_WB,E1_2_EB,2
66,E20_22_NWB,E23_24_NB,3
66,E3_4_EB,E11_12_EB,2
66,E4_5_WB,E16_18_EB,3
66,E5_6_WB,E3_12_SB,2
67,E10_16_WB,E22_23_WB,1
67,E17_19_NB,E20_22_SEB,1
67,E18_20_NEB,E16_17_SB,1
67,E1_3_SB,E21_22_SB,3
67,E20_21_WB,E1_2_EB,2
67,E20_22_NWB,E23_24_NB,5
67,E3_4_EB,E11_12_EB,3
67,E4_5_WB,E16_18_EB,2
67,E5_6_WB,E3_12_SB,3
68,E17_19_NB,E20_22_SEB,2
68,E18_20_NEB,E16_17_SB,2
68,E1_3_SB,E21_22_SB,1
68,E20_21_WB,E1_2_EB,4
68,E20_22_NWB,E23_24_NB,2
68,E3_4_EB,E11_12_EB,2
68,E4_5_WB,E16_18_EB,3
68,E5_6_WB,E3_12_SB,3
69,E10_16_WB,E22_23_WB,3
69,E12_13_NB,E17_19_NB,3
69,E17_19_NB,E20_22_SEB,1
69,E1_3_SB,E21_22_SB,2
69,E20_21_WB,E1_2_EB,3
69,E20_22_NWB,E23_24_NB,1
69,E3_4_EB,E11_12_EB,2
69,E4_5_WB,E16_18_EB,2
70,E10_16_WB,E22_23_WB,2
70,E12_13_NB,E17_19_NB,1
70,E17_19_NB,E20_22_SEB,2
70,E18_20_NEB,E16_17_SB,3
70,E1_3_SB,E21_22_SB,2
70,E20_21_WB,E1_2_EB,1
70,E20_22_NWB,E23_24_NB,2
70,E3_4_EB,E11_12_EB,1
70,E4_5_WB,E16_18_EB,3
70,E5_6_WB,E3_12_SB,1
71,E10_16_WB,E22_23_WB,4
71,E12_13_NB,E17_19_NB,1
71,E17_19_NB,E20_22_SEB,2
71,E18_20_NEB,E16_17_SB,4
71,E1_3_SB,E21_22_SB,3
71,E20_21_WB,E1_2_EB,1
71,E20_22_NWB,E23_24_NB,1
71,E3_4_EB,E11_12_EB,1
71,E5_6_WB,E3_12_SB,1
72,E10_16_WB,E22_23_WB,1
72,E18_20_NEB,E16_17_SB,3
72,E1_3_SB,E21_22_SB,1
72,E20_22_NWB,E23_24_NB,1
72,E4_5_WB,E16_18_EB,2
73,E10_16_WB,E22_23_WB,2
73,E17_19_NB,E20_22_SEB,1
73,E18_20_NEB,E16_17_SB,1
73,E20_21_WB,E1_2_EB,3
73,E20_22_NWB,E23_24_NB,2
73,E3_4_EB,E11_12_EB,1
73,E4_5_WB,E16_18_EB,4
73,E5_6_WB,E3_12_SB,1
74,E10_16_WB,E22_23_WB,1
74,E12_13_NB,E17_19_NB,1
74,E17_19_NB,E20_22_SEB,1
74,E18_20_NEB,E16_17_SB,1
74,E1_3_SB,E21_22_SB,2
74,E20_21_WB,E1_2_EB,1
74,E20_22_NWB,E23_24_NB,1
74,E3_4_EB,E11_12_EB,2
74,E4_5_WB,E16_18_EB,2
74,E5_6_WB,E3_12_SB,3
75,E10_16_WB,E22_23_WB,2
75,E12_13_NB,E17_19_NB,1
75,E17_19_NB,E20_22_SEB,3
75,E18_20_NEB,E16_17_SB,3
75,E1_3_SB,E21_22_SB,2
75,E20_21_WB,E1_2_EB,1
75,E20_22_NWB,E23_24_NB,3
75,E3_4_EB,E11_12_EB,1
75,E4_5_WB,E16_18_EB,1
75,E5_6_WB,E3_12_SB,1
76,E10_16_WB,E22_23_WB,1
76,E17_19_NB,E20_22_SEB,1
76,E18_20_NEB,E16_17_SB,2
76,E1_3_SB,E21_22_SB,1
76,E20_22_NWB,E23_24_NB,2
76,E3_4_EB,E11_12_EB,2
76,E4_5_WB,E16_18_EB,1
76,E5_6_WB,E3_12_SB,1
77,E10_16_WB,E22_23_WB,2
77,E12_13_NB,E17_19_NB,2
77,E20_21_WB,E1_2_EB,2
77,E20_22_NWB,E23_24_NB,1
77,E3_4_EB,E11_12_EB,6
77,E4_5_WB,E16_18_EB,3
77,E5_6_WB,E3_12_SB,1
78,E10_16_WB,E22_23_WB,2
78,E12_13_NB,E17_19_NB,2
78,E17_19_NB,E20_22_SEB,3
78,E18_20_NEB,E16_17_SB,2
78,E1_3_SB,E21_22_SB,2
78,E20_21_WB,E1_2_EB,1
78,E20_22_NWB,E23_24_NB,2
78,E3_4_EB,E11_12_EB,2
78,E4_5_WB,E16_18_EB,1
78,E5_6_WB,E3_12_SB,1
79,E10_16_WB,E22_23_WB,1
79,E12_13_NB,E17_19_NB,2
79,E17_19_NB,E20_22_SEB,4
79,E18_20_NEB,E16_17_SB,1
79,E1_3_SB,E21_22_SB,1
79,E20_21_WB,E1_2_EB,1
79,E20_22_NWB,E23_24_NB,1
79,E3_4_EB,E11_12_EB,3
79,E4_5_WB,E16_18_EB,4
79,E5_6_WB,E3_12_SB,1
80,E10_16_WB,E22_23_WB,1
80,E12_13_NB,E17_19_NB,2
80,E17_19_NB,E20_22_SEB,1
80,E18_20_NEB,E16_17_SB,2
80,E1_3_SB,E21_22_SB,1
80,E20_22_NWB,E23_24_NB,1
80,E3_4_EB,E11_12_EB,1
80,E4_5_WB,E16_18_EB,3
80,E5_6_WB,E3_12_SB,1
81,E10_16_WB,E22_23_WB,3
81,E17_19_NB,E20_22_SEB,2
81,E1_3_SB,E21_22_SB,1
81,E20_21_WB,E1_2_EB,3
81,E20_22_NWB,E23_24_NB,2
81,E3_4_EB,E11_12_EB,1
81,E4_5_WB,E16_18_EB,3
81,E5_6_WB,E3_12_SB,2
82,E10_16_WB,E22_23_WB,2
82,E17_19_NB,E20_22_SEB,1
82,E1_3_SB,E21_22_SB,3
82,E20_21_WB,E1_2_EB,4
82,E20_22_NWB,E23_24_NB,1
82,E4_5_WB,E16_18_EB,2
82,E5_6_WB,E3_12_SB,1
83,E10_16_WB,E22_23_WB,4
83,E12_13_NB,E17_19_NB,2
83,E17_19_NB,E20_22_SEB,1
83,E1_3_SB,E21_22_SB,3
83,E20_21_WB,E1_2_EB,3
83,E3_4_EB,E11_12_EB,2
83,E4_5_WB,E16_18_EB,2
83,E5_6_WB,E3_12_SB,3
84,E10_16_WB,E22_23_WB,1
84,E18_20_NEB,E16_17_SB,1
84,E1_3_SB,E21_22_SB,1
84,E20_21_WB,E1_2_EB,4
84,E20_22_NWB,E23_24_NB,1
84,E4_5_WB,E16_18_EB,2
84,E5_6_WB,E3_12_SB,1
85,E10_16_WB,E22_23_WB,3
85,E12_13_NB,E17_19_NB,2
85,E18_20_NEB,E16_17_SB,1
85,E1_3_SB,E21_22_SB,1
85,E20_21_WB,E1_2_EB,1
85,E20_22_NWB,E23_24_NB,1
85,E4_5_WB,E16_18_EB,3
85,E5_6_WB,E3_12_SB,2
86,E1_3_SB,E21_22_SB,5
86,E20_21_WB,E1_2_EB,2
86,E20_22_NWB,E23_24_NB,1
86,E4_5_WB,E16_18_EB,1
86,E5_6_WB,E3_12_SB,1
87,E10_16_WB,E22_23_WB,2
87,E12_13_NB,E17_19_NB,1
87,E17_19_NB,E20_22_SEB,1
87,E1_3_SB,E21_22_SB,4
87,E20_21_WB,E1_2_EB,1
87,E20_22_NWB,E23_24_NB,2
87,E3_4_EB,E11_12_EB,1
87,E4_5_WB,E16_18_EB,1
87,E5_6_WB,E3_12_SB,1
88,E12_13_NB,E17_19_NB,2
88,E18_20_NEB,E16_17_SB,1
88,E1_3_SB,E21_22_SB,4
88,E20_22_NWB,E23_24_NB,2
88,E3_4_EB,E11_12_EB,1
88,E4_5_WB,E16_18_EB,3
88,E5_6_WB,E3_12_SB,4
